Symbol,best_description,functional_category,pleiotropy_class,master_score,Peak -logP_adipose,Effect Size_adipose,genomic_context_adipose,tier_adipose,Peak -logP_liver,Effect Size_liver,genomic_context_liver,tier_liver,same_direction,peak_distance_mb
Lsamp,limbic system-associated membrane protein,other,tissue_specific,28.238,105.5,-0.972,distal_cis,Tier_1_HighConfidence,,,,,False,
Slc13a2,solute carrier family 13 member 2,other,tissue_specific,28.235,,,,,83.5,1.265,proximal,Tier_1_HighConfidence,False,
Or6k2,olfactory receptor family 6 subfamily K member 2,signaling,tissue_specific,27.98,65.8,1.083,proximal,Tier_1_HighConfidence,,,,,False,
C5h8orf88,similar to human chromosome 8 open reading frame 88,other,tissue_specific,27.978,53.6,-1.357,proximal,Tier_1_HighConfidence,,,,,False,
Dsg3,desmoglein 3,other,tissue_specific,27.954,58.5,1.241,proximal,Tier_1_HighConfidence,,,,,False,
Clec2l,"C-type lectin domain family 2, member L",other,tissue_specific,27.892,,,,,79.6,1.268,proximal,Tier_1_HighConfidence,False,
Elavl2,ELAV like RNA binding protein 2,other,tissue_specific,27.746,,,,,68.6,1.587,proximal,Tier_1_HighConfidence,False,
Lilrb1,leukocyte immunoglobulin like receptor B1,immune,tissue_specific,27.665,73.9,0.825,proximal,Tier_1_HighConfidence,,,,,False,
Btc,betacellulin,other,tissue_specific,27.54,61.9,-1.065,proximal,Tier_1_HighConfidence,,,,,False,
Vom2r16,"vomeronasal 2 receptor, 16",signaling,tissue_specific,27.489,61.4,1.064,proximal,Tier_1_HighConfidence,,,,,False,
Btnl8,butyrophilin-like 8,other,tissue_specific,27.485,53.9,-1.232,proximal,Tier_1_HighConfidence,,,,,False,
Sez6l,seizure related 6 homolog like,other,tissue_specific,27.341,40.1,1.508,proximal,Tier_1_HighConfidence,,,,,False,
RT1-CE7,"RT1 class I, locus CE7",other,tissue_specific,27.243,40.5,2.196,distal_cis,Tier_1_HighConfidence,,,,,False,
RT1-CE6,"RT1 class I, locus CE6",other,tissue_specific,27.216,,,,,69.0,1.373,proximal,Tier_1_HighConfidence,False,
Ebf4,EBF family member 4,other,tissue_specific,27.187,,,,,68.3,-1.386,proximal,Tier_1_HighConfidence,False,
Miox,myo-inositol oxygenase,other,tissue_specific,27.147,,,,,63.8,1.524,proximal,Tier_1_HighConfidence,False,
Tnr,tenascin R,other,tissue_specific,27.1,25.0,1.79,proximal,Tier_1_HighConfidence,,,,,False,
Snora26,"small nucleolar RNA, H/ACA box 26",other,tissue_specific,27.099,39.6,-1.461,proximal,Tier_1_HighConfidence,,,,,False,
Inava,innate immunity activator,other,tissue_specific,27.035,,,,,66.9,-1.376,proximal,Tier_1_HighConfidence,False,
Atp2b2,ATPase plasma membrane Ca2+ transporting 2,other,tissue_specific,26.092,64.6,-1.377,distal_cis,Tier_1_HighConfidence,,,,,False,
RT1-CE3,"RT1 class I, locus CE3",other,tissue_specific,25.044,64.7,1.123,distal_cis,Tier_1_HighConfidence,,,,,False,
Macrod2,mono-ADP ribosylhydrolase 2,other,tissue_specific,24.795,66.4,-1.025,distal_cis,Tier_1_HighConfidence,,,,,False,
Gvinp1,"GTPase, very large interferon inducible 1",immune,tissue_specific,24.642,49.8,1.362,distal_cis,Tier_1_HighConfidence,,,,,False,
